2019-03-19 17:40:53,969:INFO: Loading the datasets...
2019-03-19 22:21:56,104:INFO: - Train metrics: tp: 0.663 ; accuracy: 0.928 ; fp: 0.265 ; fn: 0.313 ; loss: 0.206
2019-03-19 22:23:33,555:INFO: - Eval metrics : accuracy: 0.918 ; f1score: 0.620 ; loss: 0.316 ; precision: 0.722 ; recall: 0.544
2019-03-19 22:23:48,691:INFO: Epoch 8/10
2019-03-19 23:02:14,983:INFO: - Train metrics: tp: 0.590 ; accuracy: 0.925 ; fp: 0.217 ; fn: 0.386 ; loss: 0.217
2019-03-19 23:03:52,055:INFO: - Eval metrics : accuracy: 0.919 ; f1score: 0.609 ; loss: 0.351 ; precision: 0.742 ; recall: 0.516
2019-03-19 23:04:07,191:INFO: Epoch 9/10
2019-03-19 23:42:31,685:INFO: - Train metrics: tp: 0.687 ; accuracy: 0.935 ; fp: 0.229 ; fn: 0.289 ; loss: 0.196
2019-03-19 23:44:09,133:INFO: - Eval metrics : accuracy: 0.918 ; f1score: 0.643 ; loss: 0.285 ; precision: 0.691 ; recall: 0.601
2019-03-19 23:44:24,161:INFO: Epoch 10/10
2019-03-20 00:22:47,101:INFO: - Train metrics: tp: 0.627 ; accuracy: 0.925 ; fp: 0.253 ; fn: 0.349 ; loss: 0.221
2019-03-20 00:24:24,335:INFO: - Eval metrics : accuracy: 0.917 ; f1score: 0.639 ; loss: 0.325 ; precision: 0.686 ; recall: 0.597
